tool,program,reason,detail
CoverUp,integrator1,test_assertion_or_runtime_failure,"integrator1	71.34 | PYTEST_FAIL | ................F............................                            [100%] | =========================== short test summary info =========================== | FAILED coverup/result_4o/tests/test_coverup_14.py::test_trap_d_multiple_points | 1 failed, 44 passed in 0.79s | "
CoverUp,qr_decomposition,no_tests_collected,qr_decomposition	100.00 | PYTEST_FAIL | q: |  [[-0.857143  0.394286  0.331429] |  [-0.428571 -0.902857 -0.034286] |  [ 0.285714 -0.171429  0.942857]] | r: |  [[ -14.  -21.   14.] |  [   0. -175.   70.] |  [   0.   -0.  -35.]] |  | polyfit: |  [1. 2. 3.] |  | no tests ran in 0.05s | 
CoverUp,solve_equation2,no_tests_collected,solve_equation2	12.50 | PYTEST_FAIL |  | no tests ran in 0.04s | 
Our method,AlgoExtra_binomial_distribution_binomial_distribution_028,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=87.5
Our method,AlgoExtra_casimir_effect_casimir_force_012,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=92.86
Our method,AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=90.0
Our method,AlgoExtra_eulers_totient_totient_044,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=90.0
Our method,AlgoExtra_newtons_law_of_gravitation_gravitational_law_007,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=93.75
Our method,AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=93.33
Our method,AlgoExtra_power_iteration_power_iteration_015,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=50.0
Our method,CodaCover_matplotlib_triangles,valid_tests_no_branch_improvement,r1: gen_ok=True eval_rc=0 filter_rc=0 improved=False branch=20.0
Our method,CodaCover_scipy_sparse_shape,valid_tests_no_branch_improvement,r1: gen_ok=True eval_rc=0 filter_rc=0 improved=False branch=95.45
Our method,CodaCover_scipy_stats_basic,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=94.44
Our method,CodaExtra_random_choice_weight,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=90.0
Our method,FiPyExtra_coefficient_shape,valid_tests_no_branch_improvement,r1: gen_ok=True eval_rc=0 filter_rc=0 improved=False branch=87.5
Our method,Linear_equation2,no_improvement_legacy_run,"pynguin=100.0, our=100.0, no pipeline_state.json"
Our method,MatrixExponential3,no_improvement_legacy_run,"pynguin=31.25, our=31.25, no pipeline_state.json"
Our method,ODEPDEExtra_cfl_multiphysics,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=90.0
Our method,PDEBench_advection_step,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=92.86
Our method,SciPy_wilcoxon_rank,valid_tests_no_branch_improvement,r1: gen_ok=True eval_rc=0 filter_rc=0 improved=False branch=85.71
Our method,SfePyExtra_tensor_symmetry,generated_tests_failed_then_filtered_no_improvement,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=83.33
Our method,TBCExtra_vector_norm,valid_tests_no_branch_improvement,r1: gen_ok=True eval_rc=0 filter_rc=0 improved=False branch=92.86
Our method,integrator5,no_improvement_legacy_run,"pynguin=100.0, our=100.0, no pipeline_state.json"
Our method,integrator6,generation_or_evaluation_failures,r1: gen_ok=True eval_rc=1 filter_rc=0 improved=True branch=6.25; r2: gen_ok=True eval_rc=1 filter_rc=0 improved=False branch=6.25
CodaMOSA,AlgoExtra_find_max_find_max_recursive_037,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-05-13T14:49:36.624086 | [program] AlgoExtra_find_max_find_max_recursive_037 | [cwd] /home/ubuntu/BCBT/scientific_calculation/AlgoExtra_find_max_find_max_recursive_037 | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/AlgoExtra_find_max_find_max_recursive_037/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/AlgoExtra_find_max_find_max_recursive_037:/in
CodaMOSA,AlgoExtra_rank_of_matrix_rank_of_matrix_009,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-05-13T16:00:07.788997 | [program] AlgoExtra_rank_of_matrix_rank_of_matrix_009 | [cwd] /home/ubuntu/BCBT/scientific_calculation/AlgoExtra_rank_of_matrix_rank_of_matrix_009 | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/AlgoExtra_rank_of_matrix_rank_of_matrix_009/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/AlgoExtra_rank_of_matrix_rank_of_matrix
CodaMOSA,NumPy_covariance_helper,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-05-13T17:46:32.542233 | [program] NumPy_covariance_helper | [cwd] /home/ubuntu/BCBT/scientific_calculation/NumPy_covariance_helper | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/NumPy_covariance_helper/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/NumPy_covariance_helper:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/NumPy_covariance_help
CodaMOSA,NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001,no_statistics_no_tests,[runner] tools/run_codamosa.py | [time] 2026-05-13T18:03:49.653567 | [program] NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001 | [cwd] /home/ubuntu/BCBT/scientific_calculation/NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001 | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scien
CodaMOSA,ODEPDEExtra_conservation_balance,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-05-13T18:35:46.380932 | [program] ODEPDEExtra_conservation_balance | [cwd] /home/ubuntu/BCBT/scientific_calculation/ODEPDEExtra_conservation_balance | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/ODEPDEExtra_conservation_balance/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/ODEPDEExtra_conservation_balance:/input:ro -v /home/ubuntu/BCBT/scientif
CodaMOSA,ODEPDEExtra_wave_energy_state,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-05-13T18:47:49.950867 | [program] ODEPDEExtra_wave_energy_state | [cwd] /home/ubuntu/BCBT/scientific_calculation/ODEPDEExtra_wave_energy_state | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/ODEPDEExtra_wave_energy_state/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/ODEPDEExtra_wave_energy_state:/input:ro -v /home/ubuntu/BCBT/scientific_calculati
CodaMOSA,PDEBench_cfl_condition,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-05-13T18:54:12.883889 | [program] PDEBench_cfl_condition | [cwd] /home/ubuntu/BCBT/scientific_calculation/PDEBench_cfl_condition | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/PDEBench_cfl_condition/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/PDEBench_cfl_condition:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/PDEBench_cfl_condition/co
CodaMOSA,PDEBench_grid_initializer,no_statistics_no_tests,[runner] tools/run_codamosa.py | [time] 2026-05-13T18:57:20.402291 | [program] PDEBench_grid_initializer | [cwd] /home/ubuntu/BCBT/scientific_calculation/PDEBench_grid_initializer | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/PDEBench_grid_initializer/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/PDEBench_grid_initializer:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/PDEBench_grid
CodaMOSA,SfePy_biot_coupling,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-05-13T20:07:03.597993 | [program] SfePy_biot_coupling | [cwd] /home/ubuntu/BCBT/scientific_calculation/SfePy_biot_coupling | [image] codamosa-runner-chat | [budget] 120 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/SfePy_biot_coupling/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/SfePy_biot_coupling:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/SfePy_biot_coupling/codamosa/result_4
CodaMOSA,Trapezoidal Rule,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-04-27T21:31:42.209718 | [program] Trapezoidal Rule | [cwd] /home/ubuntu/BCBT/scientific_calculation/Trapezoidal Rule | [image] codamosa-runner-chat | [budget] 600 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/Trapezoidal Rule/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/Trapezoidal Rule:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/Trapezoidal Rule/codamosa/result_4o:/output -v /h
CodaMOSA,integrator2,no_statistics_no_tests,[runner] tools/run_codamosa.py | [time] 2026-04-27T18:11:50.806129 | [program] integrator2 | [cwd] /home/ubuntu/BCBT/scientific_calculation/integrator2 | [image] codamosa-runner-chat | [budget] 600 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/integrator2/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/integrator2:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/integrator2/codamosa/result_4o:/output -v /home/ubuntu/BCBT/scientifi
CodaMOSA,integrator3,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-04-27T18:21:36.803710 | [program] integrator3 | [cwd] /home/ubuntu/BCBT/scientific_calculation/integrator3 | [image] codamosa-runner-chat | [budget] 600 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/integrator3/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/integrator3:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/integrator3/codamosa/result_4o:/output -v /home/ubuntu/BCBT/scientifi
CodaMOSA,integrator5,codamosa_empty_seed_bug,[runner] tools/run_codamosa.py | [time] 2026-04-27T18:33:00.498730 | [program] integrator5 | [cwd] /home/ubuntu/BCBT/scientific_calculation/integrator5 | [image] codamosa-runner-chat | [budget] 600 | [out_dir] /home/ubuntu/BCBT/scientific_calculation/integrator5/codamosa/result_4o | [cmd] docker run --rm --network host -v /home/ubuntu/BCBT/scientific_calculation/integrator5:/input:ro -v /home/ubuntu/BCBT/scientific_calculation/integrator5/codamosa/result_4o:/output -v /home/ubuntu/BCBT/scientifi
