program,line,target,function,condition,categories,Pynguin_missing_targets,Direct_LLM_only_GPT4o,CoverUp_GPT4o,CodaMOSA_GPT4o,Ours_v1_GPT4o
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,118,-109,benchmark,"func in ('count_negatives_binary_search', 'count_negatives_brute_force_with_break', 'count_negatives_brute_force')",Loop/Iteration State Dependency,0,0,1,0,0
AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031,74,76,cramers_rule_2x2,determinant_x == determinant_y == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,0
AlgoExtra_eulers_totient_totient_044,25,22,totient,j in range(len(primes)),Complex Data Dependency | Loop/Iteration State Dependency,0,0,0,0,0
AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035,62,63,main,len(sys.argv) < 3,Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,0,1,0,1
AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035,62,65,main,len(sys.argv) < 3,Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,0,1,0,1
AlgoExtra_gaussian_elimination_pivoting_solve_linear_system_006,47,48,solve_linear_system,abs(ab[i][column_num]) > abs(ab[column_num][column_num]),Complex Data Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,46,49,is_ip_v4_address_valid,len(octets) != 4,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,49,50,is_ip_v4_address_valid,octet in octets,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,49,60,is_ip_v4_address_valid,octet in octets,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,50,51,is_ip_v4_address_valid,not octet.isdigit(),Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,50,53,is_ip_v4_address_valid,not octet.isdigit(),Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,54,55,is_ip_v4_address_valid,len(str(number)) != len(octet),Cross-Function / Cross-Module Dependency,0,1,1,0,1
AlgoExtra_matrix_bandwidth_replacement,16,18,matrix_bandwidth,lower == 0 and upper == 0,Cross-Function / Cross-Module Dependency,0,1,1,1,1
AlgoExtra_matrix_bandwidth_replacement,18,19,matrix_bandwidth,lower <= 1 and upper <= 1,Cross-Function / Cross-Module Dependency,0,1,1,1,1
AlgoExtra_matrix_bandwidth_replacement,18,20,matrix_bandwidth,lower <= 1 and upper <= 1,Cross-Function / Cross-Module Dependency,0,1,1,0,1
AlgoExtra_matrix_bandwidth_replacement,20,21,matrix_bandwidth,"max(lower, upper) <= size // 2",Cross-Function / Cross-Module Dependency,0,0,1,0,1
AlgoExtra_matrix_bandwidth_replacement,20,22,matrix_bandwidth,"max(lower, upper) <= size // 2",Cross-Function / Cross-Module Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_find_repeat_045,33,-13,validate_matrix_content,row in matrix,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_find_repeat_045,34,37,validate_matrix_content,len(row) != size,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_find_repeat_045,37,33,validate_matrix_content,not all((char.isalnum() for char in row)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_find_repeat_045,37,38,validate_matrix_content,not all((char.isalnum() for char in row)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_find_repeat_045,49,47,validate_moves,not (0 <= x < size and 0 <= y < size),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_find_repeat_045,66,72,parse_moves,"pair in input_str.split(',')",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_matrix_based_game_move_y_029,33,-13,validate_matrix_content,row in matrix,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_matrix_based_game_move_y_029,37,33,validate_matrix_content,not all((char.isalnum() for char in row)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_matrix_based_game_move_y_029,66,72,parse_moves,"pair in input_str.split(',')",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_move_y_029,68,70,parse_moves,len(parts) != 2,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_move_y_029,90,107,find_repeat,(color := matrix_g[column][row]) != '-',Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,1,1,0,1
AlgoExtra_matrix_based_game_move_y_029,93,95,dfs,row_n < 0 or row_n >= size or column_n < 0 or (column_n >= size),Complex Data Dependency,0,1,1,0,1
AlgoExtra_newton_raphson_newton_raphson_055,80,81,newton_raphson,error < max_error,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
AlgoExtra_newton_raphson_newton_raphson_055,80,83,newton_raphson,error < max_error,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
AlgoExtra_newton_raphson_newton_raphson_055,83,84,newton_raphson,f_derivative(a) == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
AlgoExtra_newton_raphson_newton_raphson_055,83,85,newton_raphson,f_derivative(a) == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
AlgoExtra_newtons_law_of_gravitation_gravitational_law_007,68,71,gravitational_law,distance == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,0
AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057,166,-153,benchmark,value in range(15),Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,0
AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057,167,169,benchmark,"func in (generate_pascal_triangle, generate_pascal_triangle_optimized)",Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,0
AlgoExtra_power_iteration_power_iteration_015,79,80,power_iteration,is_complex,Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,1,1,1,0
AlgoExtra_power_iteration_power_iteration_015,96,-84,test_power_iteration,"problem_type in ['real', 'complex']",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,1,0
AlgoExtra_power_iteration_power_iteration_015,96,97,test_power_iteration,"problem_type in ['real', 'complex']",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,1,0
AlgoExtra_power_iteration_power_iteration_015,97,98,test_power_iteration,problem_type == 'real',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,1,0
AlgoExtra_power_iteration_power_iteration_015,97,100,test_power_iteration,problem_type == 'real',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,1,0
AlgoExtra_power_iteration_power_iteration_015,100,101,test_power_iteration,problem_type == 'complex',Complex Data Dependency,0,0,1,1,0
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,78,80,solve_simultaneous,len(equations) == 1,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,81,82,solve_simultaneous,any((0 in row for row in data_set)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,81,91,solve_simultaneous,any((0 in row for row in data_set)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,84,85,solve_simultaneous,"(row_index, row) in enumerate(temp_data)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,84,88,solve_simultaneous,"(row_index, row) in enumerate(temp_data)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,85,84,solve_simultaneous,0 not in row,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,73,74,solve_simultaneous,any((len(item) != _length for item in equations)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,84,88,solve_simultaneous,"(row_index, row) in enumerate(temp_data)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,85,84,solve_simultaneous,0 not in row,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,88,89,solve_simultaneous,not full_row,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,98,101,solve_simultaneous,row[-2] == 0,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,0
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,106,107,solve_simultaneous,len(temp_row) == 0,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,0
AlgoExtra_three_sum_three_sum_005,29,30,three_sum,low < high and nums[high] == nums[high - 1],Complex Data Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_triplet_sum_triplet_sum2_050,54,55,triplet_sum2,arr[i] + arr[left] + arr[right] == target,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
AlgoExtra_triplet_sum_triplet_sum2_050,58,53,triplet_sum2,arr[i] + arr[left] + arr[right] > target,Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,0,0,0,0
AlgoExtra_weird_number_semi_perfect_025,22,19,factors,int(number // i) != i,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
CG_general,22,23,GoldenSection,b - a > 1e-07,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,1
CG_general,22,35,GoldenSection,b - a > 1e-07,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,1
CG_general,53,54,CGLineSearch,gk > 1e-07 and k < 1000,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,1
CG_general,53,69,CGLineSearch,gk > 1e-07 and k < 1000,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,1
CG_general,23,24,GoldenSection,phi1 > phi2,Loop/Iteration State Dependency,0,0,0,0,1
CG_general,23,30,GoldenSection,phi1 > phi2,Loop/Iteration State Dependency,0,0,0,0,1
CodaCover_ansible_mathstuff,17,18,human_to_bytes,not raw,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_ansible_mathstuff,40,42,set_relationship,a > b,Cross-Function / Cross-Module Dependency,0,1,1,0,1
CodaCover_ansible_mathstuff,42,43,set_relationship,a & b,Cross-Function / Cross-Module Dependency,0,1,1,0,1
CodaCover_ansible_mathstuff,42,44,set_relationship,a & b,Cross-Function / Cross-Module Dependency,0,1,1,0,1
CodaCover_ansible_stats,13,14,increment,outcome == 'ok',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_ansible_stats,15,16,increment,outcome == 'failed',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_ansible_stats,17,18,increment,outcome == 'skipped',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_ansible_stats,27,29,summarize,total == 0,Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,1,1,0,1
CodaCover_ansible_stats,29,30,summarize,failed > 0,Cross-Function / Cross-Module Dependency,0,1,1,0,1
CodaCover_ansible_stats,29,31,summarize,failed > 0,Cross-Function / Cross-Module Dependency,0,1,1,0,1
CodaCover_keras_activations,8,9,activation,kind == 'leaky_relu',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_keras_activations,9,10,activation,alpha < 0,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_keras_activations,9,11,activation,alpha < 0,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_keras_activations,12,13,activation,kind == 'sigmoid',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,1
CodaCover_keras_activations,14,15,activation,kind == 'tanh',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,1
CodaCover_keras_losses,12,13,regression_loss,loss == 'mae',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
CodaCover_keras_losses,14,15,regression_loss,loss == 'huber',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
CodaCover_keras_losses,15,16,regression_loss,delta <= 0,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_keras_losses,15,17,regression_loss,delta <= 0,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,0
CodaCover_keras_losses,25,26,loss_quality,tolerance < 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_matplotlib_bezier,6,8,quadratic_bezier,"pts.shape != (3, 2)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_matplotlib_bezier,8,9,quadratic_bezier,np.any((np.asarray(t) < 0) | (np.asarray(t) > 1)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_matplotlib_bezier,8,10,quadratic_bezier,np.any((np.asarray(t) < 0) | (np.asarray(t) > 1)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_matplotlib_bezier,16,18,curve_flatness,"pts.shape != (3, 2)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_matplotlib_bezier,19,20,curve_flatness,"np.allclose(chord, 0.0)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_matplotlib_bezier,19,21,curve_flatness,"np.allclose(chord, 0.0)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_matplotlib_triangles,6,8,triangle_area,"pts.shape != (3, 2)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,1,0
CodaCover_matplotlib_triangles,14,16,triangle_quality,"pts.shape != (3, 2)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,1,0
CodaCover_matplotlib_triangles,21,22,triangle_quality,np.any(edges == 0),Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,0,1,1,0
CodaCover_matplotlib_triangles,21,23,triangle_quality,np.any(edges == 0),Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,0,1,1,0
CodaCover_matplotlib_triangles,25,26,triangle_quality,quality > 0.75,Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,0,1,1,0
CodaCover_matplotlib_triangles,25,27,triangle_quality,quality > 0.75,Complex Data Dependency | Cross-Function / Cross-Module Dependency,0,0,1,0,0
CodaCover_mimesis_random,12,13,weighted_choice_index,weight < 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,1
CodaCover_pandas_interval,6,7,interval_contains,closed == 'left',Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_pandas_interval,8,9,interval_contains,closed == 'both',Cross-Function / Cross-Module Dependency,0,1,1,0,1
CodaCover_pandas_interval,10,11,interval_contains,closed == 'neither',Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_pandas_numeric_array,10,11,coerce_numeric,errors == 'raise',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaCover_pandas_numeric_array,12,13,coerce_numeric,errors == 'coerce',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,1
CodaCover_pandas_numeric_array,14,15,coerce_numeric,errors == 'ignore',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,0
CodaCover_scipy_sparse_shape,16,17,validate_sparse_shape,density < 0.5,Cross-Function / Cross-Module Dependency,0,0,1,1,0
CodaCover_scipy_stats_basic,11,12,trimmed_mean,cut,Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,0
CodaExtra_activation_branch,10,12,activation,x >= 0,Cross-Function / Cross-Module Dependency,0,0,1,1,0
CodaExtra_nan_policy,6,7,reduce_with_nan_policy,has_nan and policy == 'raise',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaExtra_nan_policy,8,9,reduce_with_nan_policy,has_nan and policy == 'omit',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
CodaExtra_numeric_tile,8,9,tile_bin,index in range(len(bins) - 1),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
CodaExtra_numeric_tile,9,8,tile_bin,bins[index] <= value < bins[index + 1],Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
CodaExtra_numeric_tile,9,10,tile_bin,bins[index] <= value < bins[index + 1],Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
CodaExtra_random_choice_weight,10,11,weighted_choice_bucket,weight < 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,0
EigenvalueSolvers,11,12,inverse_power_method,_ in range(max_iterations),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,1
EigenvalueSolvers,11,20,inverse_power_method,_ in range(max_iterations),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,1
EigenvalueSolvers,43,44,power_method,_ in range(max_iterations),Complex Data Dependency | Loop/Iteration State Dependency,0,0,1,0,1
EigenvalueSolvers,43,48,power_method,_ in range(max_iterations),Complex Data Dependency | Loop/Iteration State Dependency,0,0,0,0,1
EigenvalueSolvers,12,13,inverse_power_method,error < tolerance,Complex Data Dependency | Loop/Iteration State Dependency,0,0,1,0,1
EigenvalueSolvers,12,14,inverse_power_method,error < tolerance,Complex Data Dependency | Loop/Iteration State Dependency,0,0,1,0,1
FiPyExtra_coefficient_shape,10,11,normalize_coefficient,"arr.shape == (1, cells)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,0
FiPyExtra_diffusion_tensor,11,12,classify_diffusion_tensor,np.all(eig > 0),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
FiPyExtra_face_gradient,6,7,choose_face_gradient,scheme == 'upwind',Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
FiPyExtra_face_gradient,8,9,choose_face_gradient,scheme == 'limited',Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
FiPyExtra_mesh_spacing_quality,2,3,spacing_quality,len(spacings) == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
FiPy_boundary_conditions,15,16,apply_boundary_1d,mode == 'neumann',Complex Data Dependency,0,0,1,0,1
FiPy_boundary_conditions,16,17,apply_boundary_1d,len(values) > 1 and left is not None,Complex Data Dependency,0,0,1,0,1
FiPy_boundary_conditions,16,18,apply_boundary_1d,len(values) > 1 and left is not None,Complex Data Dependency,0,0,0,0,1
FiPy_boundary_conditions,18,19,apply_boundary_1d,len(values) > 1 and right is not None,Complex Data Dependency | Loop/Iteration State Dependency,0,0,1,0,0
FiPy_boundary_conditions,18,22,apply_boundary_1d,len(values) > 1 and right is not None,Complex Data Dependency | Loop/Iteration State Dependency,0,0,0,0,1
FiPy_diffusion_steady_state,25,26,boundary_flux,side == 'right',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
FiPy_residual_norm,12,13,residual_norm,norm_type == 'l1',Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
GaussianElimination1,7,8,Solve,"i in range(n - 2, -1, -1)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
GaussianElimination1,7,9,Solve,"i in range(n - 2, -1, -1)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
GaussianElimination2,5,6,SeqGauss,i in range(n - 1),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
GaussianElimination2,5,8,SeqGauss,i in range(n - 1),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
GaussianElimination2,6,7,SeqGauss,"j in range(i + 1, n)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
GaussianElimination2,6,8,SeqGauss,"j in range(i + 1, n)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,0
GaussianElimination3,5,6,PivotGauss,i in range(n - 1),Complex Data Dependency | Loop/Iteration State Dependency,0,1,1,0,1
GaussianElimination3,5,10,PivotGauss,i in range(n - 1),Complex Data Dependency | Loop/Iteration State Dependency,0,1,1,0,1
GaussianElimination3,8,9,PivotGauss,"j in range(i + 1, n)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
GaussianElimination3,8,10,PivotGauss,"j in range(i + 1, n)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,0
LUDecompositionSolver,11,12,LUFactorization,k in range(dimension - 1),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,0,1
LUDecompositionSolver,11,17,LUFactorization,k in range(dimension - 1),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,0,1,1
LUDecompositionSolver,31,32,forward_sub,i in reversed(range(len(b))),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,1
LUDecompositionSolver,31,34,forward_sub,i in reversed(range(len(b))),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,1,0,1
LUDecompositionSolver,39,40,backward_sub,i in range(len(y)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,1
LUDecompositionSolver,39,42,backward_sub,i in range(len(y)),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,1,1
Linear_equation1,7,15,pivot_gauss,"j in range(i + 1, n)",Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,0
